old_url,status,canonical,content_type,action,new_url,redirect_code,template,indexability,notes
https://envintglobal.com/infosys-and-esg-a-journey-that-started-with-g/,200,https://envintglobal.com/infosys-and-esg-a-journey-that-started-with-g/,Insight / Article,KEEP,/infosys-and-esg-a-journey-that-started-with-g/,,ArticleDetailTemplate,INDEXABLE,Published Insight / Thought Leadership article (54 total published posts)
https://envintglobal.com/circular-economy-a-world-without-waste/,200,https://envintglobal.com/circular-economy-a-world-without-waste/,Insight / Article,KEEP,/circular-economy-a-world-without-waste/,,ArticleDetailTemplate,INDEXABLE,Published Insight / Thought Leadership article (54 total published posts)
https://envintglobal.com/ghg-protocols-made-easy-to-follow/,200,https://envintglobal.com/ghg-protocols-made-easy-to-follow/,Insight / Article,KEEP,/ghg-protocols-made-easy-to-follow/,,ArticleDetailTemplate,INDEXABLE,Published Insight / Thought Leadership article (54 total published posts)
https://envintglobal.com/life-cycle-assessment-demystified/,200,https://envintglobal.com/life-cycle-assessment-demystified/,Insight / Article,KEEP,/life-cycle-assessment-demystified/,,ArticleDetailTemplate,INDEXABLE,Published Insight / Thought Leadership article (54 total published posts)
https://envintglobal.com/ghg-emissions-explained-a-clear-guide/,200,https://envintglobal.com/ghg-emissions-explained-a-clear-guide/,Insight / Article,KEEP,/ghg-emissions-explained-a-clear-guide/,,ArticleDetailTemplate,INDEXABLE,Published Insight / Thought Leadership article (54 total published posts)
https://envintglobal.com/how-to-set-science-based-targets/,200,https://envintglobal.com/how-to-set-science-based-targets/,Insight / Article,KEEP,/how-to-set-science-based-targets/,,ArticleDetailTemplate,INDEXABLE,Published Insight / Thought Leadership article (54 total published posts)
https://envintglobal.com/difference-between-net-zero-and-carbon-neutrality/,200,https://envintglobal.com/difference-between-net-zero-and-carbon-neutrality/,Insight / Article,KEEP,/difference-between-net-zero-and-carbon-neutrality/,,ArticleDetailTemplate,INDEXABLE,Published Insight / Thought Leadership article (54 total published posts)
https://envintglobal.com/the-eu-taxonomy-demystified/,200,https://envintglobal.com/the-eu-taxonomy-demystified/,Insight / Article,KEEP,/the-eu-taxonomy-demystified/,,ArticleDetailTemplate,INDEXABLE,Published Insight / Thought Leadership article (54 total published posts)
https://envintglobal.com/extended-producer-responsibility-epr/,200,https://envintglobal.com/extended-producer-responsibility-epr/,Insight / Article,KEEP,/extended-producer-responsibility-epr/,,ArticleDetailTemplate,INDEXABLE,Published Insight / Thought Leadership article (54 total published posts)
https://envintglobal.com/how-to-calculate-your-products-carbon-footprint/,200,https://envintglobal.com/how-to-calculate-your-products-carbon-footprint/,Insight / Article,KEEP,/how-to-calculate-your-products-carbon-footprint/,,ArticleDetailTemplate,INDEXABLE,Published Insight / Thought Leadership article (54 total published posts)
